"item_id","bi_st","category","sku"
574846,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574847,Gross,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574848,Gross,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574849,Gross,Mobiles & Tablets,Lenovo-K6Karate-Gold
574850,Valid,Appliances,Anex_Anex_AG-174 Jucier Blender Grinder
574851,Valid,Mobiles & Tablets,ZA_qmobile_NoirE14G-Gold
574852,Valid,Mobiles & Tablets,Lenovo-K6Karate-Gold
574853,Valid,Home & Living,Rajesh_WO502HL1KZCFCNAFAMZ
574854,Valid,Women's Fashion,SAB_SI-223-S
574856,Net,Women's Fashion,GA_CL-213-A-134848
574857,Net,Women's Fashion,jj_JLAWN-S-17-119-B-Vivid-Vibes
574858,Gross,Computing,Dell_Inspiron-15-5567-ci5-2GB
574859,Valid,Men's Fashion,mytee_myteeL122
574860,Net,Soghaat,NDF_Fry Seeds-long
574861,Net,Soghaat,cr_PUMPKIN SEEDS LARGE
574862,Gross,Entertainment,AYS_32-32u561
574863,Net,Men's Fashion,mdeal_DMC-337-11
574865,Valid,Mobiles & Tablets,dany_Dany Genius Tab-II
574866,Net,Health & Sports,BD_BIG DEAL_54
574867,Net,Men's Fashion,Emo_SA-34746-32
574869,Net,Men's Fashion,Adolphs_AD-15
574870,Net,Men's Fashion,BT_BT-281M
574871,Valid,Health & Sports,Telemall_MM-DR-HB-L-XXL
574873,Valid,Men's Fashion,mdeal_MD-Gold&Blackwatch
574874,Valid,Beauty & Grooming,shopfever_RA235HB0IBBUKNAFAMZ
574875,Valid,Beauty & Grooming,Bold_Active
574876,Net,Women's Fashion,Aladdin_Pack of 2 White-L
574878,Net,Women's Fashion,Rajesh_Bras-1008-S
574880,Net,Women's Fashion,Rajesh_Bras-1004-M
574882,Valid,Mobiles & Tablets,a4tech_Head-Phone-HS-12
574883,Gross,Mobiles & Tablets,cc_Mi-Power-Bank-Pro-10000mAh
574884,Net,Superstore,Fantastic_FT-54
574885,Valid,Mobiles & Tablets,cc_Mi-Power-Bank-Pro-10000mAh
574886,Net,Appliances,mm_AG-1080b
574887,Net,Health & Sports,vitamin_moments-delay-wipes
574888,Valid,Appliances,West Point_WF1810
574889,Net,Health & Sports,SMC_R-89
574890,Gross,Appliances,AYS_Haier-HDF245SD
574891,Gross,Mobiles & Tablets,LenovoA6010-Black
574892,Net,Appliances,emart_JE-35
574893,Net,Women's Fashion,memsaab_6260-1
574894,Net,Women's Fashion,memsaab_JE-008-3-Purple
574895,Net,Women's Fashion,Valarie_PJ10-DR-S
574897,Net,Men's Fashion,mdeal_MD-Gold&Blackwatch
574898,Net,Women's Fashion,MemSaab_404
574899,Net,Soghaat,RS_Plain Rusk Pack of 3
574900,Net,Soghaat,AlMuhafizMultaniSohanHalwa_Badami_250gm
574901,Net,Soghaat,AlMuhafizMultaniSohanHalwa_Akhroti_250gm
574902,Net,Soghaat,shahi_BallayBallayDaalMoung22x12gm
574903,Net,Soghaat,shahi_BallayBallayMunchyMix25x12gm
574904,Valid,Men's Fashion,Emo_MZ-35587-10
574906,Net,Men's Fashion,DR_DRPC001D-10
574908,Net,Women's Fashion,lala_UMS17-DME-007-1000216199233
574909,Valid,Beauty & Grooming,sa_Silver (Saeed Ajmal)-3ml
574910,Valid,Beauty & Grooming,KureshiC_012-she
574911,Valid,Home & Living,DOH_DOH-66-Silver
574912,Valid,Appliances,osaka_5W  Energy Saver Spiral  B22  W/W  
574913,Valid,Home & Living,emart_0-64
574914,Valid,Superstore,Nau_Naurus-800ML
574915,Valid,Men's Fashion,oasis_Oasis-021-32
574917,Gross,Mobiles & Tablets,Huawei-Honor-8-Lite-Black
574918,Valid,Women's Fashion,Degreez_27217
574919,Valid,Men's Fashion,AC_ac171-purple-L
574921,Net,Mobiles & Tablets,igeek_Universal-18X-Zoom-Mobile-Phone-Optical-Lens
574922,Net,Home & Living,Fantastic_FT-42
574923,Net,Superstore,Uni-Sauce-deal
574924,Valid,Kids & Baby,Ctees_CK-CC-M
574926,Valid,Kids & Baby,AT-intelligence shape wheel
574927,Valid,Kids & Baby,Senorita_KAK-739-SGN-30
574929,Valid,Kids & Baby,Senorita_KAK-739-SGN-32
574931,Valid,Superstore,sehgalmotors_254422
574932,Valid,Superstore,sehgalmotors_8151
574933,Valid,Superstore,sehgalmotors_272352
574934,Gross,Mobiles & Tablets,Samsung-Galaxy-S8-G950-Black
574935,Valid,Beauty & Grooming,KureshiC_122-kemei
574936,Valid,Mobiles & Tablets,Tmall_Red Stereo Bluetooth Speaker - DF-B02T TF
574937,Net,Appliances,Fantastic_FT-1121
574938,Valid,Mobiles & Tablets,GSW_CarBluetoothDongle
574939,Net,Mobiles & Tablets,BD_BIG DEAL_3
574940,Valid,Health & Sports,Telemall_MM-PC-0003
574942,Gross,Mobiles & Tablets,BT_BT-217
574943,Valid,Home & Living,BE_INDUCTIVE RAINBOW GLASS-2
574944,Net,Mobiles & Tablets,cc_Xiaomi-Mi-Band-2
574945,Valid,Women's Fashion,Mausummery_JL17-1M198-M
574947,Net,Mobiles & Tablets,cc_Mi-Power-Bank-Pro-10000mAh
574948,Valid,Superstore,sehgalmotors_294525
574949,Net,Superstore,Nau_Achar-Ghosht-100gm
574950,Net,Superstore,Nau_Tandoori-BBQ-100gm
574951,Net,Superstore,Nau_Kofta-Masala-100gm
574952,Net,Superstore,Nau_Karahi-Fry-Gosht-100gm
574953,Net,Superstore,Nau_Chaat-Masala-100gm
574954,Net,Superstore,Nau_Qeema-Masala-100gm
574955,Net,Superstore,Nau_Nihari-Curry-120gm
574956,Net,Superstore,Nau_Korma-Masala-100gm
574957,Net,Superstore,Nau_Chapli-Kabab-100gm
574958,Net,Superstore,Nau_Bombay-Biryani-130gm
574959,Net,Superstore,Nau_Sindhi-Biryani-100gm
574960,Net,Superstore,Nau_chicken-Tikka-100gm
574961,Valid,Soghaat,Nimcos_Potato-Crisps-Spicy-150gm
574962,Valid,Soghaat,Nimcos_Potato-Crinkles-Spicy-150gm
574963,Valid,Health & Sports,Sigma_54914
574964,Valid,Mobiles & Tablets,cc_Huawei-Mate-9-Gold
574965,Valid,Computing,Lenovo_Ideapad-110-ci3
574966,Valid,Beauty & Grooming,sg_SandalLotion100ml
574968,Valid,Women's Fashion,Bsense_BSWN0022-L
574970,Valid,Home & Living,emart_00-6
574971,Net,Soghaat,NDF_Zarday Ka Rang 50gm
574972,Valid,Mobiles & Tablets,Samsung-Galaxy-S8-G955-Plus-Black
574973,Net,Men's Fashion,mdeal_DMC-605-11
574975,Net,Home & Living,Seven Star_SB-Cotton13
574976,Net,Home & Living,RBT_RB-0040
574977,Gross,Superstore,RB_HouseholdBundle
574978,Net,Health & Sports,vitamin_Melatonin Sleep Formula
574979,Valid,Men's Fashion,mdeal_DMC-605-11
574981,Net,Mobiles & Tablets,cc_Mi-Power-Bank-Pro-10000mAh
574982,Gross,Mobiles & Tablets,Samsung-Galaxy-J5-Pro-J530-Black
574983,Valid,Women's Fashion,AC_ac-214
574984,Valid,Men's Fashion,Adolphs_AD-15
574985,Valid,Men's Fashion,mdeal_DMC-220-Free size
574987,Gross,Mobiles & Tablets,Samsung-Galaxy-J5-Pro-J530-Black
574988,Net,Mobiles & Tablets,Romoss_1013
574989,Net,Home & Living,BE_MEAT-TENDERIZER
574990,Valid,Beauty & Grooming,Loreal_White Perfect Fairness Revealing Night Cream - 50 ml
574991,Valid,Beauty & Grooming,M&M_Silk Foundation-Fair
574992,Net,Women's Fashion,GA_C-383-136132
574993,Net,Women's Fashion,GA_CL-242-B-136041
574994,Net,Men's Fashion,mytee_25-M
574996,Valid,Superstore,RB_Personal Care-bf
574997,Gross,Superstore,RB_PCN-LED
574998,Valid,Women's Fashion,sanaulla_SN17E 08 
575000,Net,Appliances,West Point_WF-3119
575001,Valid,Home & Living,Lajawab01025BBQBasketWhite
575002,Valid,Home & Living,Lajawab1027Charcoal
575003,Valid,Home & Living,myteebb2Silver
575004,Valid,Home & Living,myteebb5Brown
575005,Valid,Home & Living,myteebb6Brown
575006,Valid,Mobiles & Tablets,BD_BIG DEAL_3
575007,Valid,Kids & Baby,igeek_TriFidgetSpinner
575008,Valid,Men's Fashion,urban_URT021-S
575010,Valid,Men's Fashion,Adolphs_AD-11
575011,Valid,Beauty & Grooming,vitamin_Breast Enlargement
575012,Valid,Entertainment,HAS_1023
575013,Valid,Women's Fashion,lala_UMS17-DME-002-1000215699105
575014,Net,Health & Sports,vitamin_moments-delay-wipes
575015,Valid,Superstore,Uni-Closeup-deal
575016,Valid,Superstore,RB_HouseholdBundle
575017,Gross,School & Education,Aladdin_UMR_CM_1096
575018,Gross,Beauty & Grooming,Z&A_ZEES-0026
575019,Gross,Women's Fashion,clickbuscollection_light-29
575020,Gross,Women's Fashion,NJ_YNJ11012
575021,Gross,Appliances,AYS_PEL-Aspire-PRAS-6400-EW-330
575022,Net,Soghaat,NDF_Kajoo Plain 200gm
575023,Net,Soghaat,NDF_Kajoo Roasted 200gm
575024,Net,Appliances,igeek_Grey-LED-Fidget-Hand-Spinner
575025,Net,Kids & Baby,igeek__Packof3FidgetSpinnerStressReducer
575026,Net,Soghaat,NDF_Peanut Salty 200gm
575027,Net,Soghaat,NDF_Chowara Regular
575028,Net,Mobiles & Tablets,Linkpro_LP-proda20-B
575029,Net,Women's Fashion,Fantastic_FT-Hot-Shapers-XXL
575031,Net,Mobiles & Tablets,PTCL_Charji EVO TAB
575032,Valid,Mobiles & Tablets,BD_BIG DEAL_10
575033,Net,Men's Fashion,aybeez_ABZ-3530-L
575035,Net,Kids & Baby,BO_shovel-truck-orange
575036,Net,Kids & Baby,Planet X_stinnos_A020
575037,Net,Kids & Baby,BO_blocks-small-1
575038,Valid,Appliances,RM_LG P186SQ
575039,Valid,Appliances,Sencor_STM-47GG
575040,Net,Men's Fashion,Echange-EP_07-42
575042,Valid,Mobiles & Tablets,Samsung_ J3-J320F-White
575043,Gross,Superstore,uni_FoodPanda
575044,Gross,Appliances,mm_AG-2049
575045,Gross,Home & Living,BD_Big deal_70
575046,Valid,Women's Fashion,clickbuscollection_light-51
575047,Valid,Soghaat,RS_Soan Papri-250gm
575048,Net,Men's Fashion,Adolphs_AD-36
575049,Gross,Men's Fashion,KureshiC_234 -bf
575050,Valid,Women's Fashion,GA_PM-158-136195
575051,Valid,Women's Fashion,amnaismail_8A
575052,Net,Women's Fashion,KHAS_KLEMB3056
575053,Net,Beauty & Grooming,BE_TWIST SECRET - Hair Twister-87
575054,Valid,Women's Fashion,KHAS_KLEMB3070
575055,Valid,Home & Living,Campingaz_2000014562
575056,Valid,Home & Living,emart_31-tools-set
575057,Valid,Men's Fashion,mdeal_DMC-567-L
575059,Net,Women's Fashion,GA_CT-170-136045
575060,Valid,Men's Fashion,TRI_21024018-M
575062,Valid,Men's Fashion,fstore_mdc-441-41
575064,Net,Mobiles & Tablets,AZD_Solo-Plus-Headphone
575065,Valid,Women's Fashion,EtrierW_TP08-Black & Off-White
575066,Valid,Women's Fashion,Sitara_6055-C
575067,Valid,Beauty & Grooming,KureshiC_KC-DFASFM-4
575068,Valid,Beauty & Grooming,shopfever_JA868HB0H7XN0NAFAMZ
575069,Valid,Beauty & Grooming,shopfever_JA868HB02EGE4NAFAMZ
575070,Valid,Beauty & Grooming,shopfever_RO187HB0PSX0ONAFAMZ
575071,Valid,Beauty & Grooming,shopfever_JA868HB14FU8CNAFAMZ
575072,Valid,Beauty & Grooming,shopfever_RO187HB0J95D4NAFAMZ
575073,Valid,Men's Fashion,Adolphs_AD-DR-0173-M
575075,Valid,Men's Fashion,mdealMDPO2B&Wkurta-M
575077,Valid,Mobiles & Tablets,Romoss_1017
575078,Net,Home & Living,Fpakistan_FP041
575079,Valid,Women's Fashion,GA_CL-213-A-134848
575080,Valid,Women's Fashion,GA_CL-201 B-134838
575081,Valid,Women's Fashion,GA_CL-233-B-134823
575082,Valid,Women's Fashion,GA_TL-62-B-134896
575083,Valid,Women's Fashion,GA_CL-220-A-134860
575084,Valid,Women's Fashion,GA_CL-216-C-134856
575085,Valid,Women's Fashion,GA_CL-216-A-134854
575086,Net,Mobiles & Tablets,FSMS_DP-663P1- Pink
575087,Net,Women's Fashion,sitara_197-A
575088,Net,Women's Fashion,sitara_5113-B
575089,Net,Women's Fashion,lala_USS17-LCL-001B
575090,Net,Mobiles & Tablets,iGeek_VR BOX Version 2.0 - Virtual Reality Glasses - White
575091,Net,Mobiles & Tablets,BT_BT-263
575092,Valid,Men's Fashion,oasis_Oasis-021-32
575094,Valid,Men's Fashion,Grace_3ecowintersocks
575095,Net,Health & Sports,BD_BIG DEAL_54
575096,Net,Others,emart_00-1
575097,Net,Health & Sports,vitamin_moments-silver-delay-condom
575098,Net,Home & Living,emart_0-23
575099,Net,Soghaat,RS_Plain Rusk Pack of 3
575100,Net,Soghaat,RS_CakeRusk_700gm_Export
575101,Net,Soghaat,RS_Soan Papri-500gm
575102,Gross,Mobiles & Tablets,IDROID_BALRX7-Gold
575103,Net,Home & Living,RBT_RB-0028
575104,Valid,Men's Fashion,CUR_CU-09
575105,Net,Mobiles & Tablets,MTA_1006
575106,Net,Health & Sports,Aladdin_Adjustable Jump Rope With Counter - Yellow & Orange
575107,Net,Women's Fashion,Mausummery_JL17-1M152-L
575109,Gross,Women's Fashion,GA_CL-220-A-134860
575110,Gross,Men's Fashion,Ifsha_CU-0029-1
575111,Gross,Men's Fashion,SS_RTW-781-S-slim-fit
575113,Valid,Health & Sports,Rubian_21-XL
575115,Valid,Health & Sports,Telemall_MM-DR-HB-L-XL
575117,Valid,Health & Sports,Tmall_HotShapers_Gel
575118,Net,Mobiles & Tablets,BT_BT-465M-B
575119,Net,Women's Fashion,jj_JLAWNS17192Tinge-02036842-LW3-PPB
575120,Net,Women's Fashion,lala_UMS17-DME-001-1000215599230
575121,Gross,Women's Fashion,memsaab_1666-C
575122,Valid,Home & Living,Trendz_TR-0104
575123,Valid,Home & Living,GFE_32_Triplepaperdispenser
575124,Valid,Home & Living,BE_Toothpaste-Dispenser
575125,Valid,Home & Living,emart_00-7
575126,Valid,Home & Living,MD-BathroomShelves
575127,Valid,Health & Sports,BD_BIG DEAL_54
575128,Valid,Health & Sports,Aladdin_Chrome Dumbbells Silver - 2kg
575129,Valid,Health & Sports,Aladdin_Waist Trimmer Disc - Black
575130,Net,Mobiles & Tablets,Infinix_HotSmartX5010-Gold
575131,Net,Mobiles & Tablets,e-seller_10
575132,Net,Beauty & Grooming,Nabila_ZEROMAKEUP-HONEY
575133,Valid,Beauty & Grooming,emart_Ding Ling Trimmer rf 609
575134,Net,Men's Fashion,oasis_Oasis-021-36
575136,Net,Men's Fashion,designdarzI_DD0013-M
575138,Valid,Soghaat,Al Muhafiz Sohan Halwa Walnut
575139,Valid,Soghaat,RS_Sohan Halwa 1000gm
575140,Net,Superstore,uni_FoodPanda
575141,Valid,Beauty & Grooming,Fantastic_FT-20
575142,Net,Kids & Baby,Planet X_stinnos_A103
575143,Net,Women's Fashion,Sitara_6055-C
575144,Net,Soghaat,ME_Double-Akhroat-Multani-Sohan-Halwa-1kg
575145,Net,Soghaat,SN_ajwa100gm
575146,Net,Soghaat,RS_Plain Rusk Pack of 3
575147,Net,Men's Fashion,Fantastic_FT-26
575148,Net,Soghaat,AlMuhafizMultaniSohanHalwa_Badami_250gm
575149,Valid,Mobiles & Tablets,Samsung_ J3-J320F-Gold
575150,Valid,Men's Fashion,DOH_DOH-4-S
575152,Net,Women's Fashion,GA_CT-161-136033
575153,Net,Women's Fashion,GA_CT-168-136043
575154,Valid,Entertainment,igeek_EZCast_Wifi_TV_Dongle
575155,Valid,Mobiles & Tablets,BT_BT-263
575156,Net,Appliances,Peacock_Sandwhich maker - peacock
575157,Net,Superstore,Jaza_2Sela5kg+FOC
575158,Gross,Mobiles & Tablets,PTCL_Charji EVO TAB
575159,Net,Kids & Baby,igeek__Packof3FidgetSpinnerStressReducer
575160,Net,Kids & Baby,iGeek_FidgetSpinnerToyMetal-Silver
575161,Net,Men's Fashion,mdeal_DMC-144-M
575163,Net,Men's Fashion,mdeal_MD-White-V-Neck-Tshirt-Full-Sleeves-For-Men-M
575165,Valid,Men's Fashion,KureshiC_100-wled
575166,Net,Mobiles & Tablets,MTA_1032
575167,Net,Superstore,Uni-Dove-Lux-deal
575168,Net,Soghaat,NN_Crystal Jelly Orange 80g
575169,Gross,Women's Fashion,GA_SS-136-136180
575170,Gross,Women's Fashion,GA_BS-11-136012
575171,Gross,Mobiles & Tablets,Infinix_HotSmartX5010-Gold
575172,Gross,Mobiles & Tablets,Samsung-Galaxy-J5-Pro-J530-Gold
575173,Valid,Superstore,AG_Softolin Hand Wash Aqua-500ml
575174,Gross,Women's Fashion,Silkasia_ET-457
575175,Gross,Mobiles & Tablets,xiaomi_mi-c3-32gb-Grey
575176,Gross,Women's Fashion,Silkasia_ET-457
575177,Net,Beauty & Grooming,emart_0-46
575178,Net,Mobiles & Tablets,HQ_White DZ-09 Network Mode
575179,Valid,Entertainment,SMD_DVD-Taken-1
575180,Valid,Entertainment,SMD_2D Blu-ray-Man-of-Steel
575181,Net,Men's Fashion,KureshiC_295-wdl
575182,Net,Men's Fashion,BT_BT-307
575183,Net,Men's Fashion,BE_bicycle
575184,Valid,Computing,HP_450-G4-Core-i7-7500U
575185,Valid,Women's Fashion,GA_BS-11-136012
575186,Valid,Mobiles & Tablets,Infinix_HotSmartX5010-Gold
575187,Valid,Mobiles & Tablets,Samsung-Galaxy-J5-Pro-J530-Gold
575188,Valid,Men's Fashion,Mardaz_MA305FA111R0KNAFAMZ-M
575190,Valid,Men's Fashion,RCP_RCPA-3Short-Check
575191,Net,Men's Fashion,Fantastic_FT-48
575192,Net,Women's Fashion,Sitara_207-B
575193,Valid,Computing,Dell_Inspiron-15-5567-ci7-4GB
575195,Valid,Mobiles & Tablets,Infinix_HotSmartX5010Black
575196,Valid,Mobiles & Tablets,Samsung_ J3-J320F-Black
575197,Gross,Mobiles & Tablets,Huawei-Ascend-P10-Lite-Blue
575198,Gross,Women's Fashion,MotifzMWU01951999RUST
575199,Valid,Health & Sports,Marhaba_Safoof-Hazam
575200,Valid,Kids & Baby,BT_BT-461-Green
575201,Valid,Health & Sports,BE_WONDER PATCH
575202,Valid,Books,Zia_147P
575203,Valid,Superstore,Nau_Naurus-120ML
575204,Valid,Superstore,Jaza_Elite 1kg
575205,Net,Soghaat,RS_Kaju Barfi
575206,Net,Soghaat,RS_Kaju Barfi
575207,Net,Women's Fashion,memsaab_b1236-L
575209,Valid,Mobiles & Tablets,Samsung-Galaxy-J5-Pro-J530-Black
575210,Net,Soghaat,Nimcos_Black-Pepper-Potato-Sticks-180gm
575211,Net,Soghaat,Nimcos_Salty-Potato-Sticks-180gm
575212,Net,Soghaat,Nimcos_Mix-Nimco-200gm
575213,Net,Soghaat,Nimcos_Dahi-Boondi-180gm
575214,Net,Soghaat,Nimcos_Masala-Papri-180gm
575215,Net,Soghaat,Nimcos_Namak-Paray-200gm
575216,Net,Soghaat,Nimcos_Dal-Moth-200gm
575217,Net,Soghaat,Nimcos_Potato-Sticks-150gm
575218,Net,Soghaat,ME_Double-Akhroat-Multani-Sohan-Halwa-1kg
575219,Valid,Computing,HP_PRINTER-LJ-M130NW-MFP PRO
575220,Valid,Men's Fashion,Brumano_0-50-0001-320-3
575222,Net,Men's Fashion,ew_X27
575223,Net,Men's Fashion,Bata_8826749-40
575225,Valid,Men's Fashion,mdeal_DMC-581
575226,Valid,Mobiles & Tablets,Dany_Powerbank Pb- 42
575227,Gross,Beauty & Grooming,Atiqa_Dynamic-Bundle
575228,Gross,Women's Fashion,clickbuscollection_clickbus-90-Blue
575229,Gross,Women's Fashion,Degreez_27217
575230,Net,Beauty & Grooming,M&M_Long Lasting Lipstick -Empower
575231,Net,Men's Fashion,PEARL_MDBSUPWS-43
575233,Gross,Women's Fashion,Degreez_27217
575234,Gross,Beauty & Grooming,Atiqa_Dynamic-Bundle
575235,Gross,Women's Fashion,clickbuscollection_clickbus-90-Blue
575236,Gross,Women's Fashion,Degreez_27217
575237,Gross,Beauty & Grooming,Atiqa_Dynamic-Bundle
575238,Gross,Women's Fashion,clickbuscollection_clickbus-90-Blue
575239,Gross,Women's Fashion,Degreez_27217
575240,Gross,Beauty & Grooming,Atiqa_Dynamic-Bundle
575241,Gross,Women's Fashion,clickbuscollection_clickbus-90-Blue
575242,Gross,Women's Fashion,Degreez_27217
575243,Net,Mobiles & Tablets,Remax_GE-1009
575244,Gross,Beauty & Grooming,Atiqa_Dynamic-Bundle
575245,Gross,Women's Fashion,clickbuscollection_clickbus-90-Blue
575246,Gross,Women's Fashion,Degreez_27217
575247,Net,Soghaat,RS_Plain Rusk Pack of 3
575248,Net,Soghaat,RS_cake rusk
575249,Gross,Beauty & Grooming,Atiqa_Dynamic-Bundle
575250,Gross,Women's Fashion,clickbuscollection_clickbus-90-Blue
575251,Gross,Women's Fashion,Degreez_27217
575252,Net,Beauty & Grooming,Atiqa_Dynamic-Bundle
575253,Net,Women's Fashion,clickbuscollection_clickbus-90-Blue
575254,Net,Women's Fashion,Degreez_27217
575255,Net,Women's Fashion,amnaismail_09B
575256,Net,Beauty & Grooming,Nabila_ZEROMAKEUP-CRÈME
575257,Net,Soghaat,Nimcos_Crunchy-Mix-200gm
575258,Gross,Mobiles & Tablets,iGeek_VR Box - Virtual Reality Glasses with Remote - White
575259,Gross,Beauty & Grooming,Nabila_ZEROMAKEUP-PEARL
575260,Net,Home & Living,myteebb6Brown
575261,Net,Home & Living,BE_Super-Sealer
575262,Net,Home & Living,Rajesh_WO502HL1KZCFCNAFAMZ
575263,Valid,Men's Fashion,sst_Beige New Chinos-34
575265,Valid,Women's Fashion,ZNE_OM-011
575266,Net,Women's Fashion,GA_C-428-136142
575267,Valid,Health & Sports,vitamin_moments-delay-wipes
575268,Net,Mobiles & Tablets,BD_BIG DEAL_12
575269,Valid,Men's Fashion,oasis_Oasis-023-36
575271,Valid,Superstore,Nau_Chicken-Nihari-435gm
575272,Valid,Women's Fashion,CK_330-Lady Pyjama-XLarge
575274,Valid,Women's Fashion,CK_330-Lady Pyjama-XLarge
575276,Valid,Women's Fashion,Yaseen _EE-01-A
575277,Gross,Beauty & Grooming,Nabila_ZEROMAKEUP-PEARL
575278,Gross,Men's Fashion,Head_811156-L
575280,Gross,Men's Fashion,Head_811645-L
575282,Net,Men's Fashion,urban_URT021-S
575284,Net,Men's Fashion,Valarie_ PJ 53 CH-M
575286,Gross,Men's Fashion,Aleesa_ALG-TR3-M
575288,Valid,Beauty & Grooming,Essence_4250338423828
575289,Valid,Beauty & Grooming,Essence_4250947593929
575290,Valid,Health & Sports,nutrifactor_NF002
575291,Valid,Women's Fashion,dc_DC2-9-L
575293,Gross,Mobiles & Tablets,Xiaomi_MI-C6-Black
575294,Net,Mobiles & Tablets,BD_BIG DEAL_3
575295,Gross,School & Education,cn_clc_ AS-2600
575296,Valid,Women's Fashion,fashion cafe_JA-HG-BR-121
575297,Net,Mobiles & Tablets,RAJESH_TE327EL1M4KASNAFAMZ
575298,Valid,Men's Fashion,Adolphs_AD-DR-0067-L
575300,Valid,Men's Fashion,CK_530-Vest-Large
575302,Valid,Men's Fashion,RCP_RCPA-Short-CheckMulti
575303,Valid,Men's Fashion,Emo_MJ-29778-36
575305,Valid,Women's Fashion,Mardaz_MA305FA16JFJ0NAFAMZ
575306,Valid,Women's Fashion,RCP_RCPA-Pant-CgtBg1
