"date_key","order_date","day_of_week","month","quarter","year"
183,2021-04-01,4,4,2,2021
184,2021-04-02,5,4,2,2021
185,2021-04-03,6,4,2,2021
186,2021-04-04,7,4,2,2021
187,2021-04-05,1,4,2,2021
188,2021-04-06,2,4,2,2021
189,2021-04-07,3,4,2,2021
190,2021-04-08,4,4,2,2021
191,2021-04-09,5,4,2,2021
192,2021-04-10,6,4,2,2021
193,2021-04-11,7,4,2,2021
194,2021-04-12,1,4,2,2021
195,2021-04-13,2,4,2,2021
196,2021-04-14,3,4,2,2021
197,2021-04-15,4,4,2,2021
198,2021-04-16,5,4,2,2021
199,2021-04-17,6,4,2,2021
200,2021-04-18,7,4,2,2021
201,2021-04-19,1,4,2,2021
202,2021-04-20,2,4,2,2021
203,2021-04-21,3,4,2,2021
204,2021-04-22,4,4,2,2021
205,2021-04-23,5,4,2,2021
206,2021-04-24,6,4,2,2021
207,2021-04-25,7,4,2,2021
208,2021-04-26,1,4,2,2021
209,2021-04-27,2,4,2,2021
210,2021-04-28,3,4,2,2021
211,2021-04-29,4,4,2,2021
212,2021-04-30,5,4,2,2021
213,2021-05-01,6,5,2,2021
214,2021-05-02,7,5,2,2021
215,2021-05-03,1,5,2,2021
216,2021-05-04,2,5,2,2021
217,2021-05-05,3,5,2,2021
218,2021-05-06,4,5,2,2021
219,2021-05-07,5,5,2,2021
220,2021-05-08,6,5,2,2021
221,2021-05-09,7,5,2,2021
222,2021-05-10,1,5,2,2021
223,2021-05-11,2,5,2,2021
224,2021-05-12,3,5,2,2021
225,2021-05-13,4,5,2,2021
226,2021-05-14,5,5,2,2021
227,2021-05-15,6,5,2,2021
228,2021-05-16,7,5,2,2021
229,2021-05-17,1,5,2,2021
230,2021-05-18,2,5,2,2021
231,2021-05-19,3,5,2,2021
232,2021-05-20,4,5,2,2021
233,2021-05-21,5,5,2,2021
234,2021-05-22,6,5,2,2021
235,2021-05-23,7,5,2,2021
236,2021-05-24,1,5,2,2021
237,2021-05-25,2,5,2,2021
238,2021-05-26,3,5,2,2021
239,2021-05-27,4,5,2,2021
240,2021-05-28,5,5,2,2021
241,2021-05-29,6,5,2,2021
242,2021-05-30,7,5,2,2021
243,2021-05-31,1,5,2,2021
244,2021-06-01,2,6,2,2021
245,2021-06-02,3,6,2,2021
246,2021-06-03,4,6,2,2021
247,2021-06-04,5,6,2,2021
248,2021-06-05,6,6,2,2021
249,2021-06-06,7,6,2,2021
250,2021-06-07,1,6,2,2021
251,2021-06-08,2,6,2,2021
252,2021-06-09,3,6,2,2021
253,2021-06-10,4,6,2,2021
254,2021-06-11,5,6,2,2021
255,2021-06-12,6,6,2,2021
256,2021-06-13,7,6,2,2021
257,2021-06-14,1,6,2,2021
258,2021-06-15,2,6,2,2021
259,2021-06-16,3,6,2,2021
260,2021-06-17,4,6,2,2021
261,2021-06-18,5,6,2,2021
262,2021-06-19,6,6,2,2021
263,2021-06-20,7,6,2,2021
264,2021-06-21,1,6,2,2021
265,2021-06-22,2,6,2,2021
266,2021-06-23,3,6,2,2021
267,2021-06-24,4,6,2,2021
268,2021-06-25,5,6,2,2021
269,2021-06-26,6,6,2,2021
270,2021-06-27,7,6,2,2021
271,2021-06-28,1,6,2,2021
272,2021-06-29,2,6,2,2021
273,2021-06-30,3,6,2,2021
274,2021-07-01,4,7,3,2021
275,2021-07-02,5,7,3,2021
276,2021-07-03,6,7,3,2021
277,2021-07-04,7,7,3,2021
278,2021-07-05,1,7,3,2021
279,2021-07-06,2,7,3,2021
280,2021-07-07,3,7,3,2021
281,2021-07-08,4,7,3,2021
282,2021-07-09,5,7,3,2021
283,2021-07-10,6,7,3,2021
284,2021-07-11,7,7,3,2021
285,2021-07-12,1,7,3,2021
286,2021-07-13,2,7,3,2021
287,2021-07-14,3,7,3,2021
288,2021-07-15,4,7,3,2021
289,2021-07-16,5,7,3,2021
290,2021-07-17,6,7,3,2021
291,2021-07-18,7,7,3,2021
292,2021-07-19,1,7,3,2021
293,2021-07-20,2,7,3,2021
294,2021-07-21,3,7,3,2021
295,2021-07-22,4,7,3,2021
296,2021-07-23,5,7,3,2021
297,2021-07-24,6,7,3,2021
298,2021-07-25,7,7,3,2021
299,2021-07-26,1,7,3,2021
300,2021-07-27,2,7,3,2021
301,2021-07-28,3,7,3,2021
302,2021-07-29,4,7,3,2021
303,2021-07-30,5,7,3,2021
304,2021-07-31,6,7,3,2021
305,2021-08-01,7,8,3,2021
306,2021-08-02,1,8,3,2021
307,2021-08-03,2,8,3,2021
308,2021-08-04,3,8,3,2021
309,2021-08-05,4,8,3,2021
310,2021-08-06,5,8,3,2021
311,2021-08-07,6,8,3,2021
312,2021-08-08,7,8,3,2021
313,2021-08-09,1,8,3,2021
314,2021-08-10,2,8,3,2021
315,2021-08-11,3,8,3,2021
316,2021-08-12,4,8,3,2021
317,2021-08-13,5,8,3,2021
318,2021-08-14,6,8,3,2021
319,2021-08-15,7,8,3,2021
320,2021-08-16,1,8,3,2021
321,2021-08-17,2,8,3,2021
322,2021-08-18,3,8,3,2021
323,2021-08-19,4,8,3,2021
324,2021-08-20,5,8,3,2021
325,2021-08-21,6,8,3,2021
326,2021-08-22,7,8,3,2021
327,2021-08-23,1,8,3,2021
328,2021-08-24,2,8,3,2021
329,2021-08-25,3,8,3,2021
330,2021-08-26,4,8,3,2021
331,2021-08-27,5,8,3,2021
332,2021-08-28,6,8,3,2021
333,2021-08-29,7,8,3,2021
334,2021-08-30,1,8,3,2021
335,2021-08-31,2,8,3,2021
336,2021-09-01,3,9,3,2021
337,2021-09-02,4,9,3,2021
338,2021-09-03,5,9,3,2021
339,2021-09-04,6,9,3,2021
340,2021-09-05,7,9,3,2021
341,2021-09-06,1,9,3,2021
342,2021-09-07,2,9,3,2021
343,2021-09-08,3,9,3,2021
344,2021-09-09,4,9,3,2021
345,2021-09-10,5,9,3,2021
346,2021-09-11,6,9,3,2021
347,2021-09-12,7,9,3,2021
348,2021-09-13,1,9,3,2021
349,2021-09-14,2,9,3,2021
350,2021-09-15,3,9,3,2021
351,2021-09-16,4,9,3,2021
352,2021-09-17,5,9,3,2021
353,2021-09-18,6,9,3,2021
354,2021-09-19,7,9,3,2021
355,2021-09-20,1,9,3,2021
356,2021-09-21,2,9,3,2021
357,2021-09-22,3,9,3,2021
358,2021-09-23,4,9,3,2021
359,2021-09-24,5,9,3,2021
360,2021-09-25,6,9,3,2021
361,2021-09-26,7,9,3,2021
362,2021-09-27,1,9,3,2021
363,2021-09-28,2,9,3,2021
364,2021-09-29,3,9,3,2021
365,2021-09-30,4,9,3,2021
