"Location_id","Place Name","City","County","State","Region","Zip"
213,Little Rock,Little Rock,Pulaski,AR,South,72204
214,Waveland,Waveland,Waveland,AR,South,72867
215,Matthews,Matthews,Grant,IN,Midwest,46957
216,Stilwell,Stilwell,Johnson,KS,Midwest,66085
217,Preemption,Preemption,Mercer,IL,Midwest,61276
218,San Antonio,San Antonio,Bexar,TX,South,78241
219,Erwin,Erwin,Unicoi,TN,South,37650
220,Dallas,Dallas,Dallas,TX,South,75303
221,Tucson,Tucson,Pima,AZ,West,85746
222,Mount Sterling,Mount Sterling,Gasconade,MO,Midwest,65062
223,Dumont,Dumont,Traverse,MN,Midwest,56236
224,Table Rock,Table Rock,Pawnee,NE,Midwest,68447
225,Oakville,Oakville,Litchfield,CT,Northeast,6779
226,Belvidere Center,Belvidere Center,Lamoille,VT,Northeast,5442
227,Blackwell,Blackwell,Kay,OK,South,74631
228,Rochester,Rochester,Oakland,MI,Midwest,48309
229,New York City,New York City,New York,NY,Northeast,10055
230,Palatine,Palatine,Cook,IL,Midwest,60095
231,Kansas City,Kansas City,Platte,MO,Midwest,64164
232,Evergreen,Evergreen,Jefferson,CO,West,80437
233,Pierson,Pierson,Woodbury,IA,Midwest,51048
234,Farmington,Farmington,Whitman,WA,West,99128
235,Schuyler,Schuyler,Nelson,VA,South,22969
236,Rexburg,Rexburg,Madison,ID,West,83441
237,Wahoo,Wahoo,Saunders,NE,Midwest,68066
238,Slemp,Slemp,Perry,KY,South,41763
239,Hillside,Hillside,Fremont,CO,West,81232
240,Providence,Providence,Providence,RI,Northeast,2918
241,Carleton,Carleton,Monroe,MI,Midwest,48117
242,Huger,Huger,Berkeley,SC,South,29450
243,Cedar Grove,Cedar Grove,Kanawha,WV,South,25039
244,Cookville,Cookville,Titus,TX,South,75558
245,Oakdale,Oakdale,Allen,LA,South,71463
246,Phenix City,Phenix City,Russell,AL,South,36869
247,Tillatoba,Tillatoba,Yalobusha,MS,South,38961
248,Fresno,Fresno,Fresno,CA,West,93777
249,Troy,Troy,Obion,TN,South,38260
250,Bronson,Bronson,Levy,FL,South,32621
251,Ora,Ora,Starke,IN,Midwest,46968
252,Mokena,Mokena,Will,IL,Midwest,60448
253,Trinity,Trinity,Morgan,AL,South,35673
254,Navarre,Navarre,Santa Rosa,FL,South,32566
255,Valyermo,Valyermo,Los Angeles,CA,West,93563
256,Virginia Beach,Virginia Beach,Virginia Beach (city),VA,South,23455
257,Lebanon,Lebanon,Marion,KY,South,40033
258,Tampa,Tampa,Hillsborough,FL,South,33605
259,Oakland,Oakland,Alameda,CA,West,94613
260,Bretton Woods,Bretton Woods,Coos,NH,Northeast,3575
261,Charlottesville,Charlottesville,Charlottesville (city),VA,South,22905
262,Rail Road Flat,Rail Road Flat,Calaveras,CA,West,95248
263,Bronx,Bronx,Bronx,NY,Northeast,10458
264,Elim,Elim,Nome (CA),AK,West,99739
265,Bolivar,Bolivar,Tuscarawas,OH,Midwest,44612
266,Shreveport,Shreveport,Caddo,LA,South,71108
267,Kearney,Kearney,Buffalo,NE,Midwest,68848
268,Spring Grove,Spring Grove,McHenry,IL,Midwest,60081
269,Wilson,Wilson,St. Croix,WI,Midwest,54027
270,Albia,Albia,Monroe,IA,Midwest,52531
271,Eldridge,Eldridge,Scott,IA,Midwest,52748
272,Stout,Stout,Grundy,IA,Midwest,50673
273,Bristow,Bristow,Boyd,NE,Midwest,68719
274,Covington,Covington,St. Tammany,LA,South,70435
275,Dahinda,Dahinda,Knox,IL,Midwest,61428
276,Springfield,Springfield,Sangamon,IL,Midwest,62711
277,Huntington,Huntington,Huntington,IN,Midwest,46750
278,Oak,Oak,Nuckolls,NE,Midwest,68964
279,Lightfoot,Lightfoot,York,VA,South,23090
280,Oswego,Oswego,Labette,KS,Midwest,67356
281,Washington,Washington,District of Columbia,DC,South,20032
282,Fountain City,Fountain City,Wayne,IN,Midwest,47341
283,Cary,Cary,McHenry,IL,Midwest,60013
284,Swanlake,Swanlake,Bannock,ID,West,83281
285,Hansell,Hansell,Hansell,IA,Midwest,50640
286,State Line,State Line,Franklin,PA,Northeast,17263
287,Cream Ridge,Cream Ridge,Monmouth,NJ,Northeast,8514
288,Embarrass,Embarrass,Waupaca,WI,Midwest,54933
289,Epworth,Epworth,Fannin,GA,South,30541
290,Trumbauersville,Trumbauersville,Bucks,PA,Northeast,18970
291,Fort Lauderdale,Fort Lauderdale,Broward,FL,South,33307
292,Portsmouth,Portsmouth,Portsmouth (city),VA,South,23705
293,Steward,Steward,Lee,IL,Midwest,60553
294,South Range,South Range,Douglas,WI,Midwest,54874
295,Benton City,Benton City,Audrain,MO,Midwest,65232
296,Amarillo,Amarillo,Potter,TX,South,79180
297,Orlando,Orlando,Orange,FL,South,32817
298,Adams,Adams,Berkshire,MA,Northeast,1220
299,Stanley,Stanley,Santa Fe,NM,West,87056
300,Tyler,Tyler,Smith,TX,South,75705
301,Whitmore Lake,Whitmore Lake,Washtenaw,MI,Midwest,48189
302,Philo,Philo,Champaign,IL,Midwest,61864
303,Wheaton,Wheaton,DuPage,IL,Midwest,60189
304,Grandin,Grandin,Cass,ND,Midwest,58038
305,Haymarket,Haymarket,Prince William,VA,South,20168
306,Gaithersburg,Gaithersburg,Montgomery,MD,South,20877
307,Ocoee,Ocoee,Polk,TN,South,37361
308,Tutwiler,Tutwiler,Tallahatchie,MS,South,38963
309,Radford,Radford,Radford (city),VA,South,24143
310,West Palm Beach,West Palm Beach,Palm Beach,FL,South,33419
311,Hyattsville,Hyattsville,Prince George's,MD,South,20783
312,Estherville,Estherville,Emmet,IA,Midwest,51334
313,Gallitzin,Gallitzin,Cambria,PA,Northeast,16641
314,Christmas,Christmas,Orange,FL,South,32709
315,Santa Monica,Santa Monica,Los Angeles,CA,West,90404
316,Cincinnati,Cincinnati,Hamilton,OH,Midwest,45243
317,Fort Lauderdale,Fort Lauderdale,Broward,FL,South,33322
318,Southington,Southington,Hartford,CT,Northeast,6489
319,Tyner,Tyner,Marshall,IN,Midwest,46572
320,Sherman Station,Sherman Station,Penobscot,ME,Northeast,4777
321,Felton,Felton,Haralson,GA,South,30140
322,Marshfield Hills,Marshfield Hills,Plymouth,MA,Northeast,2051
323,Santa Fe,Santa Fe,Santa Fe,NM,West,87592
324,Seattle,Seattle,King,WA,West,98150
325,Williamson,Williamson,Mingo,WV,South,25661
326,Newport,Newport,Sullivan,NH,Northeast,3773
327,Brazeau,Brazeau,Perry,MO,Midwest,63737
328,Cable,Cable,Bayfield,WI,Midwest,54821
329,Rockwood,Rockwood,Coleman,TX,South,76873
330,Pembroke,Pembroke,Bryan,GA,South,31321
331,Bristow,Bristow,Bristow,VA,South,22013
332,Burnt Prairie,Burnt Prairie,White,IL,Midwest,62820
333,Paincourtville,Paincourtville,Assumption,LA,South,70391
334,Fairfield,Fairfield,Wayne,IL,Midwest,62837
335,Charlotte,Charlotte,Mecklenburg,NC,South,28201
336,New York City,New York City,New York,NY,Northeast,10102
337,Erie,Erie,Neosho,KS,Midwest,66733
338,Seiling,Seiling,Dewey,OK,South,73663
339,Greensboro,Greensboro,Guilford,NC,South,27495
340,Chewsville,Chewsville,Washington,MD,South,21721
341,Goldenrod,Goldenrod,Seminole,FL,South,32733
342,Huntington,Huntington,Cabell,WV,South,25702
343,Quinton,Quinton,New Kent,VA,South,23141
344,Bronx,Bronx,Bronx,NY,Northeast,10471
345,Valmy,Valmy,Humboldt,NV,West,89438
346,TRUE,TRUE,Summers,WV,South,25988
347,Brierfield,Brierfield,Bibb,AL,South,35035
348,Holcomb,Holcomb,Grenada,MS,South,38940
349,Pukalani,Pukalani,Maui,HI,West,96788
350,Raleigh,Raleigh,Wake,NC,South,27697
351,Lewisberry,Lewisberry,York,PA,Northeast,17339
352,Denton,Denton,Denton,TX,South,76207
353,Shell,Shell,Big Horn,WY,West,82441
354,Pendleton,Pendleton,Northampton,NC,South,27862
355,Placentia,Placentia,Orange,CA,West,92871
356,Roseboro,Roseboro,Sampson,NC,South,28382
357,Peoria,Peoria,Maricopa,AZ,West,85385
358,Erwin,Erwin,Harnett,NC,South,28339
359,Walpole,Walpole,Lincoln,ME,Northeast,4573
360,West Lebanon,West Lebanon,Grafton,NH,Northeast,3784
361,Hope,Hope,Midland,MI,Midwest,48628
362,Boca Raton,Boca Raton,Palm Beach,FL,South,33499
363,Mobile,Mobile,Mobile,AL,South,36607
364,Lopeno,Lopeno,Zapata,TX,South,78564
365,Castine,Castine,Hancock,ME,Northeast,4421
366,Orlando,Orlando,Orange,FL,South,32893
367,Blue Bell,Blue Bell,Montgomery,PA,Northeast,19422
368,Green Springs,Green Springs,Seneca,OH,Midwest,44836
369,Fort Collins,Fort Collins,Larimer,CO,West,80522
370,Modesto,Modesto,Stanislaus,CA,West,95354
371,Amarillo,Amarillo,Potter,TX,South,79104
372,Everett,Everett,Snohomish,WA,West,98205
373,Union,Union,Union,SC,South,29379
374,Monroe,Monroe,Snohomish,WA,West,98272
375,Lanoka Harbor,Lanoka Harbor,Ocean,NJ,Northeast,8734
376,Rancho Palos Verdes,Rancho Palos Verdes,Los Angeles,CA,West,90275
377,Lansford,Lansford,Carbon,PA,Northeast,18232
378,Enon,Enon,Clark,OH,Midwest,45323
379,Natalia,Natalia,Medina,TX,South,78059
380,Guthrie,Guthrie,Logan,OK,South,73044
381,Round Lake,Round Lake,Nobles,MN,Midwest,56167
382,Harned,Harned,Breckinridge,KY,South,40144
383,Clear Spring,Clear Spring,Washington,MD,South,21722
384,Clinton,Clinton,De Witt,IL,Midwest,61727
385,Myra,Myra,Lincoln,WV,South,25544
386,North Little Rock,North Little Rock,Pulaski,AR,South,72119
387,Mesquite,Mesquite,Dallas,TX,South,75185
388,Arlington,Arlington,Sibley,MN,Midwest,55307
389,Waller,Waller,Waller,TX,South,77484
390,Sierra Vista,Sierra Vista,Cochise,AZ,West,85671
391,Logan,Logan,Quay,NM,West,88426
392,Big Flat,Big Flat,Baxter,AR,South,72617
393,Savannah,Savannah,Chatham,GA,South,31415
394,South Glastonbury,South Glastonbury,Hartford,CT,Northeast,6073
395,Ebro,Ebro,Washington,FL,South,32437
396,Citrus Heights,Citrus Heights,Sacramento,CA,West,95611
397,Colliersville,Colliersville,Otsego,NY,Northeast,13747
398,Memphis,Memphis,Shelby,TN,South,38190
399,Lakeland,Lakeland,Polk,FL,South,33809
400,Notrees,Notrees,Ector,TX,South,79759
401,Shawnee Mission,Shawnee Mission,Johnson,KS,Midwest,66250
402,Ravenden,Ravenden,Lawrence,AR,South,72459
403,Pittsburgh,Pittsburgh,Pittsburgh,PA,Northeast,15295
404,Aurora,Aurora,Lawrence,MO,Midwest,65605
405,Eyota,Eyota,Olmsted,MN,Midwest,55934
406,Holden,Holden,Livingston,LA,South,70744
407,Navarre,Navarre,Navarre,KS,Midwest,67469
408,Newport,Newport,Orleans,VT,Northeast,5855
409,Nashua,Nashua,Chickasaw,IA,Midwest,50658
410,Sherman Mills,Sherman Mills,Aroostook,ME,Northeast,4776
411,Centerville,Centerville,Reynolds,MO,Midwest,63633
412,Ponte Vedra Beach,Ponte Vedra Beach,St. Johns,FL,South,32082
413,Alton,Alton,Sioux,IA,Midwest,51003
414,Greenwood,Greenwood,Caddo,LA,South,71033
415,Smyer,Smyer,Hockley,TX,South,79367
416,San Francisco,San Francisco,San Francisco,CA,West,94137
417,Altavista,Altavista,Campbell,VA,South,24517
418,Charlotte,Charlotte,Mecklenburg,NC,South,28244
419,Arlington,Arlington,Reno,KS,Midwest,67514
420,Weissert,Weissert,Custer,NE,Midwest,68880
421,Memphis,Memphis,Clark,IN,Midwest,47143
422,San Elizario,San Elizario,El Paso,TX,South,79849
423,East Moline,East Moline,Rock Island,IL,Midwest,61244
424,Salt Lake City,Salt Lake City,Salt Lake,UT,West,84103
425,Seattle,Seattle,Seattle,WA,West,98139
426,Amherst,Amherst,Lorain,OH,Midwest,44001
427,Alexandria,Alexandria,Thayer,NE,Midwest,68303
428,Malibu,Malibu,Los Angeles,CA,West,90265
429,Outlook,Outlook,Yakima,WA,West,98938
430,Little York,Little York,Washington,IN,Midwest,47139
431,Little Rock,Little Rock,Pulaski,AR,South,72219
432,Hillsville,Hillsville,Lawrence,PA,Northeast,16132
433,Golf,Golf,Cook,IL,Midwest,60029
434,Sunfish,Sunfish,Sunfish,KY,South,42284
435,Miami,Miami,Miami-Dade,FL,South,33283
436,Modoc,Modoc,Randolph,IL,Midwest,62261
437,Washington,Washington,District of Columbia,DC,South,20010
438,San Bernardino,San Bernardino,San Bernardino,CA,West,92420
439,Waverly,Waverly,Morgan,IL,Midwest,62692
440,Winter Garden,Winter Garden,Orange,FL,South,34787
441,Broad Top,Broad Top,Huntingdon,PA,Northeast,16621
442,Hesperus,Hesperus,La Plata,CO,West,81326
443,Ashland,Ashland,Saunders,NE,Midwest,68003
444,Woodland Hills,Woodland Hills,Los Angeles,CA,West,91367
445,Bozeman,Bozeman,Gallatin,MT,West,59719
446,Wilkesboro,Wilkesboro,Wilkes,NC,South,28697
447,Naples,Naples,Naples,FL,South,33961
448,Bandy,Bandy,Tazewell,VA,South,24602
449,Indian Hills,Indian Hills,Jefferson,CO,West,80454
450,Kirby,Kirby,Wyandot,OH,Midwest,43330
451,Westport,Westport,Essex,NY,Northeast,12993
452,Richmond Hill,Richmond Hill,Queens,NY,Northeast,11418
453,Kalispell,Kalispell,Flathead,MT,West,59902
454,Pasadena,Pasadena,Los Angeles,CA,West,91110
455,Orlando,Orlando,Orange,FL,South,32859
456,Garber,Garber,Clayton,IA,Midwest,52048
457,New Haven,New Haven,New Haven,CT,Northeast,6511
458,Eden Prairie,Eden Prairie,Hennepin,MN,Midwest,55346
459,Ocean View,Ocean View,Hawaii,HI,West,96737
460,Tryon,Tryon,Polk,NC,South,28782
461,Charlotte,Charlotte,Mecklenburg,NC,South,28274
462,Sioux Falls,Sioux Falls,Sioux Falls,SD,Midwest,57190
463,New York City,New York City,New York,NY,Northeast,10029
464,Meservey,Meservey,Cerro Gordo,IA,Midwest,50457
465,San Francisco,San Francisco,San Francisco,CA,West,94111
466,Garden City,Garden City,Wayne,MI,Midwest,48136
467,Buckholts,Buckholts,Milam,TX,South,76518
468,Beaver City,Beaver City,Furnas,NE,Midwest,68926
469,Houston,Houston,Harris,TX,South,77076
470,Anchorage,Anchorage,Anchorage Municipality,AK,West,99599
471,Beaufort,Beaufort,Beaufort,SC,South,29906
472,Gothenburg,Gothenburg,Dawson,NE,Midwest,69138
473,Dallas,Dallas,Gaston,NC,South,28034
474,Staten Island,Staten Island,Richmond,NY,Northeast,10308
475,Buffalo,Buffalo,Erie,NY,Northeast,14202
476,Honolulu,Honolulu,Honolulu,HI,West,96811
477,Paris,Paris,Lafayette,MS,South,38949
478,Nehalem,Nehalem,Tillamook,OR,West,97131
479,North Smithfield,North Smithfield,Providence,RI,Northeast,2896
480,Clymer,Clymer,Chautauqua,NY,Northeast,14724
481,El Paso,El Paso,El Paso,TX,South,88589
482,Memphis,Memphis,Shelby,TN,South,38152
483,Elliott,Elliott,Lee,SC,South,29046
484,Ossian,Ossian,Wells,IN,Midwest,46777
485,Orlando,Orlando,Orange,FL,South,32806
486,Cedar Valley,Cedar Valley,Utah,UT,West,84013
487,Aldie,Aldie,Aldie,VA,South,22001
488,Hazelgreen,Hazelgreen,Hazelgreen,WV,South,26367
489,West Bloomfield,West Bloomfield,Oakland,MI,Midwest,48323
490,Max,Max,McLean,ND,Midwest,58759
491,Myers Flat,Myers Flat,Humboldt,CA,West,95554
492,Summit,Summit,Iron,UT,West,84772
493,Fort George G Meade,Fort George G Meade,Anne Arundel,MD,South,20755
494,Cushing,Cushing,Payne,OK,South,74023
495,Brohman,Brohman,Newaygo,MI,Midwest,49312
496,Mauriceville,Mauriceville,Orange,TX,South,77626
497,Graysville,Graysville,Monroe,OH,Midwest,45734
